Timestamp,Relative_Time,frequency,flow_rate,Valve_KNOPKA_state
2025-01-12 20:58:55.361,23.123,94.0601,0.1933333,1
2025-01-12 20:58:55.362,23.124,94.57517,0.1933333,1
2025-01-12 20:58:55.578,23.34,91.90163,0.1933333,1
2025-01-12 20:58:55.686,23.448,95.31344,0.1933333,1
2025-01-12 20:58:55.795,23.557,95.39527,0.1933333,1
2025-01-12 20:58:55.903,23.665,93.52437,0.1933333,1
2025-01-12 20:58:56.013,23.775,95.00555,0.1933333,1
2025-01-12 20:58:56.121,23.883,97.33308,0.1933333,1
2025-01-12 20:58:56.230,23.992,97.18551,0.1933333,1
2025-01-12 20:58:56.338,24.1,96.80074,0.1933333,1
2025-01-12 20:58:56.557,24.319,98.22894,0.1933333,1
2025-01-12 20:58:56.557,24.319,98.22894,0.1866667,1
2025-01-12 20:58:56.660,24.422,95.51189,0.1866667,1
2025-01-12 20:58:56.761,24.523,97.901,0.1866667,1
2025-01-12 20:58:56.866,24.628,97.71637,0.1866667,1
2025-01-12 20:58:56.972,24.734,95.64161,0.1866667,1
2025-01-12 20:58:57.077,24.839,99.62541,0.1866667,1
2025-01-12 20:58:57.180,24.942,99.23293,0.1866667,1
2025-01-12 20:58:57.287,25.049,100.2557,0.1866667,1
2025-01-12 20:58:57.505,25.266,96.82041,0.1866667,1
2025-01-12 20:58:57.613,25.375,99.3779,0.1866667,1
2025-01-12 20:58:57.724,25.486,97.37099,0.1866667,1
2025-01-12 20:58:57.725,25.487,97.37099,0.1866667,1
2025-01-12 20:58:57.833,25.595,96.34932,0.1866667,1
2025-01-12 20:58:57.942,25.704,99.30289,0.1866667,1
2025-01-12 20:58:58.050,25.812,97.53528,0.1866667,1
2025-01-12 20:58:58.159,25.921,101.9077,0.1866667,1
2025-01-12 20:58:58.267,26.029,101.1286,0.1866667,1
2025-01-12 20:58:58.375,26.137,100.8746,0.1866667,1
2025-01-12 20:58:58.484,26.246,101.9316,0.1866667,1
2025-01-12 20:58:58.591,26.353,98.79079,0.1866667,1
2025-01-12 20:58:58.699,26.461,100.9204,0.1866667,1
2025-01-12 20:58:58.755,26.517,100.9204,0.1866667,0
2025-01-12 20:58:58.808,26.569,103.1024,0.1866667,0
2025-01-12 20:58:58.929,26.691,103.1024,0.1844444,0
2025-01-12 20:58:59.041,26.803,99.58672,0.1844444,0
2025-01-12 20:58:59.150,26.912,98.495,0.1844444,0
2025-01-12 20:58:59.257,27.019,98.18842,0.1844444,0
2025-01-12 20:58:59.366,27.128,102.9569,0.1844444,0
2025-01-12 20:58:59.475,27.237,103.5647,0.1844444,0
2025-01-12 20:58:59.584,27.346,102.9707,0.1844444,0
2025-01-12 20:58:59.691,27.453,102.9887,0.1844444,0
2025-01-12 20:58:59.799,27.561,102.2735,0.1844444,0
2025-01-12 20:58:59.906,27.668,103.1694,0.1844444,0
2025-01-12 20:59:00.016,27.778,100.5976,0.1844444,0
2025-01-12 20:59:00.126,27.887,100.5976,0.1866667,0
2025-01-12 20:59:00.126,27.887,99.06679,0.1866667,0
2025-01-12 20:59:00.236,27.998,102.4947,0.1866667,0
2025-01-12 20:59:00.344,28.106,99.80439,0.1866667,0
2025-01-12 20:59:00.452,28.214,103.3207,0.1866667,0
2025-01-12 20:59:00.671,28.433,104.2677,0.1866667,0
2025-01-12 20:59:00.672,28.434,102.993,0.1866667,0
2025-01-12 20:59:00.779,28.541,102.4485,0.1866667,0
2025-01-12 20:59:00.996,28.758,101.5723,0.1866667,0
2025-01-12 20:59:01.106,28.868,104.9957,0.1866667,0
2025-01-12 20:59:01.212,28.974,104.4746,0.1866667,0
2025-01-12 20:59:01.213,28.975,104.4746,0.1866667,0
2025-01-12 20:59:01.320,29.082,104.4976,0.1866667,0
2025-01-12 20:59:01.430,29.192,100.1643,0.1866667,0
2025-01-12 20:59:01.538,29.3,103.464,0.1866667,0
2025-01-12 20:59:01.647,29.409,100.6107,0.1866667,0
2025-01-12 20:59:01.757,29.519,99.87915,0.1866667,0
2025-01-12 20:59:01.786,29.548,99.87915,0.1866667,1
2025-01-12 20:59:01.864,29.626,100.6188,0.1866667,1
2025-01-12 20:59:01.972,29.734,105.9199,0.1866667,1
2025-01-12 20:59:02.080,29.842,104.0604,0.1866667,1
2025-01-12 20:59:02.188,29.95,101.1982,0.1866667,1
2025-01-12 20:59:02.297,30.059,101.0785,0.1866667,1
2025-01-12 20:59:02.406,30.168,101.0785,0.1933333,1
2025-01-12 20:59:02.410,30.172,101.0949,0.1933333,1
